attack_cat,label,id
Normal,0,0
Generic,1,1
Exploits,1,2
Normal,0,3
Normal,0,4
Generic,1,5
Generic,1,6
Fuzzers,1,7
Normal,0,8
Normal,0,9
DoS,1,10
DoS,1,11
Normal,0,12
Fuzzers,1,13
Generic,1,14
Normal,0,15
DoS,1,16
Exploits,1,17
Normal,0,18
DoS,1,19
Exploits,1,20
Fuzzers,1,21
Exploits,1,22
Normal,0,23
Exploits,1,24
Fuzzers,1,25
Normal,0,26
Generic,1,27
Normal,0,28
DoS,1,29
Generic,1,30
Exploits,1,31
Exploits,1,32
Generic,1,33
Normal,0,34
Normal,0,35
Fuzzers,1,36
Generic,1,37
Fuzzers,1,38
Exploits,1,39
Exploits,1,40
Normal,0,41
Exploits,1,42
Reconnaissance,1,43
Normal,0,44
Fuzzers,1,45
Normal,0,46
Generic,1,47
Normal,0,48
Normal,0,49
Exploits,1,50
Fuzzers,1,51
Generic,1,52
Exploits,1,53
Fuzzers,1,54
Normal,0,55
Generic,1,56
Fuzzers,1,57
Reconnaissance,1,58
Exploits,1,59
Exploits,1,60
Fuzzers,1,61
Generic,1,62
Generic,1,63
Generic,1,64
DoS,1,65
Analysis,1,66
Exploits,1,67
Exploits,1,68
Generic,1,69
Exploits,1,70
Generic,1,71
Exploits,1,72
Exploits,1,73
Normal,0,74
Normal,0,75
Fuzzers,1,76
Exploits,1,77
Normal,0,78
Reconnaissance,1,79
Exploits,1,80
Generic,1,81
Generic,1,82
Generic,1,83
Generic,1,84
DoS,1,85
Fuzzers,1,86
Exploits,1,87
Generic,1,88
Generic,1,89
Exploits,1,90
Fuzzers,1,91
Exploits,1,92
Generic,1,93
Normal,0,94
Normal,0,95
Normal,0,96
Normal,0,97
Normal,0,98
Backdoor,1,99
Generic,1,100
Normal,0,101
Fuzzers,1,102
Exploits,1,103
Fuzzers,1,104
Generic,1,105
Normal,0,106
Normal,0,107
Generic,1,108
Exploits,1,109
Reconnaissance,1,110
Reconnaissance,1,111
Normal,0,112
Normal,0,113
Exploits,1,114
Normal,0,115
Analysis,1,116
Exploits,1,117
Normal,0,118
Normal,0,119
Shellcode,1,120
Backdoor,1,121
Normal,0,122
Normal,0,123
Reconnaissance,1,124
Exploits,1,125
Generic,1,126
Exploits,1,127
Generic,1,128
Reconnaissance,1,129
Generic,1,130
Generic,1,131
Generic,1,132
Normal,0,133
Normal,0,134
Exploits,1,135
Exploits,1,136
DoS,1,137
Normal,0,138
Exploits,1,139
Generic,1,140
Normal,0,141
Exploits,1,142
DoS,1,143
Fuzzers,1,144
Normal,0,145
Generic,1,146
Generic,1,147
Normal,0,148
Exploits,1,149
Analysis,1,150
Exploits,1,151
Fuzzers,1,152
Exploits,1,153
Normal,0,154
Generic,1,155
Fuzzers,1,156
Normal,0,157
DoS,1,158
Normal,0,159
Exploits,1,160
Generic,1,161
Normal,0,162
Reconnaissance,1,163
Normal,0,164
Generic,1,165
Fuzzers,1,166
Generic,1,167
Generic,1,168
Exploits,1,169
DoS,1,170
Fuzzers,1,171
Exploits,1,172
Exploits,1,173
Fuzzers,1,174
Generic,1,175
Fuzzers,1,176
Exploits,1,177
Reconnaissance,1,178
Exploits,1,179
Generic,1,180
Generic,1,181
Reconnaissance,1,182
Exploits,1,183
Normal,0,184
Generic,1,185
DoS,1,186
Normal,0,187
DoS,1,188
Normal,0,189
Exploits,1,190
Normal,0,191
